limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,6690,2021-06-19 02:14:12
DailyBulkApiBatches,15000,6663,2021-06-19 03:14:13
DailyBulkApiBatches,15000,6690,2021-06-19 04:13:49
DailyBulkApiBatches,15000,6691,2021-06-19 05:14:11
DailyBulkApiBatches,15000,6691,2021-06-19 06:13:53
DailyBulkApiBatches,15000,6690,2021-06-19 07:13:41
DailyBulkApiBatches,15000,6696,2021-06-19 08:14:30
DailyBulkApiBatches,15000,6694,2021-06-19 09:14:04
DailyBulkApiBatches,15000,6683,2021-06-19 10:11:49
DailyBulkApiBatches,15000,6667,2021-06-19 11:13:15
DailyBulkApiBatches,15000,6688,2021-06-19 12:14:11
DailyBulkApiBatches,15000,6666,2021-06-19 13:13:34
DailyBulkApiBatches,15000,6664,2021-06-19 14:13:27
DailyBulkApiBatches,15000,6771,2021-06-19 15:13:53
DailyBulkApiBatches,15000,6868,2021-06-19 16:13:45
DailyBulkApiBatches,15000,6967,2021-06-19 17:13:27
DailyBulkApiBatches,15000,7091,2021-06-19 18:13:38
DailyBulkApiBatches,15000,7327,2021-06-19 20:13:24
DailyBulkApiBatches,15000,7479,2021-06-19 21:13:38
DailyBulkApiBatches,15000,7570,2021-06-19 22:15:03
DailyBulkApiBatches,15000,7692,2021-06-19 23:13:22
DailyBulkApiBatches,15000,7754,2021-06-20 00:11:36
DailyBulkApiBatches,15000,7730,2021-06-20 01:14:35
DailyBulkApiBatches,15000,7731,2021-06-20 02:13:34
DailyBulkApiBatches,15000,7731,2021-06-20 03:13:51
DailyBulkApiBatches,15000,7732,2021-06-20 04:13:59
DailyBulkApiBatches,15000,7732,2021-06-20 05:14:18
DailyBulkApiBatches,15000,7732,2021-06-20 06:13:45
DailyBulkApiBatches,15000,7743,2021-06-20 07:12:33
DailyBulkApiBatches,15000,7733,2021-06-20 08:14:16
DailyBulkApiBatches,15000,7730,2021-06-20 09:14:25
DailyBulkApiBatches,15000,7731,2021-06-20 10:13:36
DailyBulkApiBatches,15000,7740,2021-06-20 11:12:53
DailyBulkApiBatches,15000,7732,2021-06-20 12:13:47
DailyBulkApiBatches,15000,6865,2021-06-20 13:00:10
DailyBulkApiBatches,15000,6625,2021-06-20 14:00:10
DailyBulkApiBatches,15000,6745,2021-06-20 15:00:10
DailyBulkApiBatches,15000,6145,2021-06-20 16:00:10
DailyBulkApiBatches,15000,5905,2021-06-20 17:00:10
DailyBulkApiBatches,15000,5667,2021-06-20 18:00:09
DailyBulkApiBatches,15000,5475,2021-06-20 19:00:10
DailyBulkApiBatches,15000,5355,2021-06-20 20:00:10
DailyBulkApiBatches,15000,5235,2021-06-20 21:00:10
DailyBulkApiBatches,15000,5115,2021-06-20 22:00:10
DailyBulkApiBatches,15000,4760,2021-06-21 02:43:48
DailyBulkApiBatches,15000,5431,2021-06-22 06:14:05
DailyBulkApiBatches,15000,5271,2021-06-22 07:14:55
DailyBulkApiBatches,15000,5249,2021-06-22 09:14:00
DailyBulkApiBatches,15000,5240,2021-06-22 11:14:54
DailyBulkApiBatches,15000,5244,2021-06-22 13:13:58
DailyBulkApiBatches,15000,5245,2021-06-22 15:14:47
DailyBulkApiBatches,15000,5251,2021-06-22 17:13:51
DailyBulkApiBatches,15000,5252,2021-06-22 19:14:09
DailyBulkApiBatches,15000,5243,2021-06-22 21:14:13
DailyBulkApiBatches,15000,5244,2021-06-22 23:14:35
DailyBulkApiBatches,15000,5262,2021-06-23 01:12:07
DailyBulkApiBatches,15000,5279,2021-06-23 02:14:04
DailyBulkApiBatches,15000,5330,2021-06-23 03:16:57
DailyBulkApiBatches,15000,5315,2021-06-23 04:14:40
DailyBulkApiBatches,15000,5283,2021-06-23 05:13:27
DailyBulkApiBatches,15000,5566,2021-06-23 07:14:15
DailyBulkApiBatches,15000,5823,2021-06-23 11:13:53
